"id","service_type","price_one_passenger","price_others_passengers","airport_id","service_id"
158,departure,"470.00","295.00",53,55
159,transit,"590.00","395.00",53,55
160,arrival,"470.00","295.00",54,55
161,departure,"470.00","295.00",54,55
162,transit,By request,By request,54,55
163,arrival,"470.00","295.00",55,55
164,departure,"470.00","295.00",55,55
165,transit,By request,By request,55,55
166,arrival,"400.00","400.00",56,55
167,departure,"400.00","400.00",56,55
168,transit,By request,By request,56,55
169,arrival,"420.00","180.00",57,55
170,departure,"420.00","180.00",57,55
171,transit,By request,By request,57,55
172,arrival,"495.00","545.00",58,71
173,departure,"495.00","545.00",58,71
174,transit,By request,By request,58,71
175,arrival,"400.00","400.00",59,55
176,departure,"400.00","400.00",59,55
177,transit,By request,By request,59,55
178,arrival,"535.00","355.00",60,18
179,departure,"535.00","355.00",60,18
180,transit,"790.00","520.00",60,18
181,arrival,"380.00","190.00",61,55
182,departure,"380.00","190.00",61,55
183,transit,"480.00","290.00",61,55
184,arrival,"320.00","130.00",62,55
185,departure,"320.00","130.00",62,55
186,transit,"460.00","190.00",62,55
187,arrival,"485.00","250.00",63,98
188,departure,"485.00","250.00",63,98
189,transit,"690.00","345.00",63,98
190,arrival,"520.00","480.00",64,86
191,departure,"520.00","480.00",64,86
192,transit,By request,By request,64,86
193,arrival,"480.00","470.00",65,83
194,departure,"480.00","470.00",65,83
195,transit,By request,By request,65,83
196,arrival,"460.00","230.00",66,55
197,departure,"460.00","230.00",66,55
198,transit,By request,By request,66,55
199,arrival,"460.00","230.00",67,55
200,departure,"460.00","230.00",67,55
201,transit,By request,By request,67,55
202,arrival,"290.00","255.00",68,55
203,departure,"290.00","255.00",68,55
204,transit,"390.00","355.00",68,55
205,arrival,"490.00","475.00",69,90
206,departure,"490.00","475.00",69,90
207,transit,"690.00","675.00",69,90
208,arrival,"290.00","280.00",70,55
209,departure,"290.00","280.00",70,55
210,transit,By request,By request,70,55
211,arrival,"250.00","210.00",71,55
212,departure,"290.00","250.00",71,55
213,transit,"400.00","360.00",71,55
214,arrival,"485.00","475.00",72,83
215,departure,"485.00","475.00",72,83
216,transit,By request,By request,72,83
217,arrival,"300.00","140.00",73,55
218,departure,"300.00","140.00",73,55
219,transit,By request,By request,73,55
220,arrival,"08:00 - 20:00
440.00
20:00 - 08:00
540.00
w/ends+holidays
640.00","08:00 - 20:00
125.00
20:00 - 08:00
160.00
w/ends+holidays
190.00",74,55
221,departure,"08:00 - 20:00
440.00
20:00 - 08:00
540.00
w/ends+holidays
640.00","08:00 - 20:00
125.00
20:00 - 08:00
160.00
w/ends+holidays
190.00",74,55
222,transit,"08:00 - 20:00
550.00
20:00 - 08:00
720.00
w/ends+holidays
840.00","08:00 - 20:00
175.00
20:00 - 08:00
200.00
w/ends+holidays
240.00",74,55
223,arrival,"620.00","500.00",75,18
224,departure,"620.00","500.00",75,18
225,transit,"845.00","690.00",75,18
226,arrival,"315.00","210.00",76,55
227,departure,"315.00","210.00",76,55
228,transit,By request,By request,76,55
229,arrival,"235.00","195.00",77,55
230,departure,"235.00","195.00",77,55
231,transit,By request,By request,77,55
232,arrival,"390.00","140.00",78,55
233,departure,"390.00","140.00",78,55
234,transit,By request,By request,78,55
235,arrival,"350.00","280.00",79,18
236,departure,"350.00","280.00",79,18
237,transit,"450.00","360.00",79,18
238,arrival,"590.00","280.00",80,55
239,departure,"590.00","280.00",80,55
240,transit,"670.00","335.00",80,55
241,arrival,"290.00","290.00",81,55
242,departure,"290.00","290.00",81,55
243,transit,-,-,81,55
244,arrival,"290.00","290.00",82,55
245,departure,"290.00","290.00",82,55
246,transit,-,-,82,55
247,arrival,"235.00","195.00",83,55
248,departure,"235.00","195.00",83,55
249,transit,By request,By request,83,55
250,arrival,"235.00","195.00",84,55
251,departure,"235.00","195.00",84,55
252,transit,By request,By request,84,55
253,arrival,"445.00","195.00",85,43
254,departure,"445.00","195.00",85,43
255,transit,By request,By request,85,43
256,arrival,"445.00","195.00",86,43
257,departure,"445.00","195.00",86,43
258,transit,By request,By request,86,43
259,arrival,"445.00","195.00",87,43
260,departure,"445.00","195.00",87,43
261,transit,By request,By request,87,43
262,arrival,"445.00","195.00",88,43
263,departure,"445.00","195.00",88,43
264,transit,By request,By request,88,43
265,arrival,"445.00","195.00",89,43
266,departure,"445.00","195.00",89,43
267,transit,By request,By request,89,43
268,arrival,"445.00","195.00",90,43
269,departure,"445.00","195.00",90,43
270,transit,By request,By request,90,43
271,arrival,"445.00","195.00",91,43
272,departure,"445.00","195.00",91,43
273,transit,By request,By request,91,43
274,arrival,"295.00","265.00",92,43
275,departure,"295.00","265.00",92,43
276,transit,By request,By request,92,43
277,arrival,"445.00","195.00",93,43
278,departure,"445.00","195.00",93,43
279,transit,By request,By request,93,43
280,arrival,"445.00","195.00",94,43
281,departure,"445.00","195.00",94,43
282,transit,By request,By request,94,43
283,arrival,"445.00","195.00",95,43
284,departure,"445.00","195.00",95,43
285,transit,By request,By request,95,43
286,arrival,"445.00","195.00",96,43
287,departure,"445.00","195.00",96,43
288,transit,By request,By request,96,43
289,arrival,"445.00","195.00",97,43
290,departure,"445.00","195.00",97,43
291,transit,By request,By request,97,43
292,arrival,"445.00","195.00",98,43
293,departure,"445.00","195.00",98,43
294,transit,By request,By request,98,43
295,arrival,"445.00","195.00",99,43
296,departure,"445.00","195.00",99,43
297,transit,By request,By request,99,43
298,arrival,"445.00","195.00",100,43
299,departure,"445.00","195.00",100,43
300,transit,By request,By request,100,43
301,arrival,"445.00","195.00",101,55
302,departure,"445.00","195.00",101,55
303,transit,By request,By request,101,55
304,arrival,"445.00","195.00",102,43
305,departure,"445.00","195.00",102,43
306,transit,By request,By request,102,43
307,arrival,"480.00","285.00",103,55
308,departure,"480.00","285.00",103,55
309,transit,"620.00","355.00",103,55
310,arrival,"475.00","225.00",104,43
311,departure,"475.00","225.00",104,43
312,transit,By request,By request,104,43
313,arrival,"445.00","195.00",105,43
314,departure,"445.00","195.00",105,43
315,transit,By request,By request,105,43
316,arrival,"445.00","195.00",106,43
317,departure,"445.00","195.00",106,43
318,transit,By request,By request,106,43
319,arrival,"445.00","195.00",107,43
320,departure,"445.00","195.00",107,43
321,transit,By request,By request,107,43
322,arrival,"410.00","175.00",108,43
323,departure,"410.00","175.00",108,43
324,transit,By request,By request,108,43
325,arrival,"530.00","355.00",109,43
326,departure,"530.00","355.00",109,43
327,transit,"700.00","400.00",109,43
328,arrival,N/A,N/A,110,44
329,departure,N/A,N/A,110,44
330,transit,"800.00","400.00",110,44
331,arrival,"690.00","265.00",111,62
332,departure,"710.00","295.00",111,62
333,transit,"880.00","350.00",111,62
334,arrival,"445.00","195.00",112,43
335,departure,"445.00","195.00",112,43
336,transit,By request,By request,112,43
337,arrival,"445.00","195.00",113,43
338,departure,"445.00","195.00",113,43
339,transit,By request,By request,113,43
340,arrival,"270.00","220.00",114,18
341,departure,"270.00","220.00",114,18
342,transit,By request,By request,114,18
343,arrival,"270.00","240.00",115,55
344,departure,"280.00","260.00",115,55
345,transit,By request,By request,115,55
346,arrival,"255.00","215.00",116,83
347,departure,"255.00","215.00",116,83
348,transit,By request,By request,116,83
349,arrival,"255.00","215.00",117,13
350,departure,"265.00","225.00",117,13
351,transit,By request,By request,117,13
352,arrival,"345.00","295.00",118,18
353,departure,"345.00","295.00",118,18
354,transit,By request,By request,118,18
355,arrival,"345.00","295.00",119,83
356,departure,"345.00","295.00",119,83
357,transit,By request,By request,119,83
358,arrival,"255.00","215.00",120,55
359,departure,"255.00","215.00",120,55
360,transit,By request,By request,120,55
361,arrival,"280.00","240.00",121,55
362,departure,"280.00","240.00",121,55
363,transit,By request,By request,121,55
364,arrival,"350.00","160.00",122,55
365,departure,"350.00","160.00",122,55
366,transit,-,-,122,55
367,arrival,"290.00","250.00",123,55
368,departure,"290.00","250.00",123,55
369,transit,"380.00","285.00",123,55
370,arrival,"290.00","250.00",124,55
371,departure,"290.00","250.00",124,55
372,transit,"380.00","285.00",124,55
373,arrival,"290.00","250.00",125,55
374,departure,"290.00","250.00",125,55
375,transit,-,-,125,55
376,arrival,"265.00","225.00",126,46
377,departure,"265.00","225.00",126,46
378,transit,By request,By request,126,46
379,arrival,"265.00","225.00",127,46
380,departure,"265.00","225.00",127,46
381,transit,By request,By request,127,46
382,arrival,"265.00","225.00",128,46
383,departure,"265.00","225.00",128,46
384,transit,By request,By request,128,46
385,arrival,"425.00","190.00",129,58
386,departure,"425.00","190.00",129,58
387,transit,By request,By request,129,58
388,arrival,"425.00","190.00",130,58
389,departure,"425.00","190.00",130,58
390,transit,By request,By request,130,58
391,arrival,"425.00","190.00",131,58
392,departure,"425.00","190.00",131,58
393,transit,By request,By request,131,58
394,arrival,"590.00","200.00",132,58
395,departure,"590.00","200.00",132,58
396,transit,By request,By request,132,58
397,arrival,"425.00","190.00",133,58
398,departure,"425.00","190.00",133,58
399,transit,By request,By request,133,58
400,arrival,"590.00","180.00",134,58
401,departure,"590.00","180.00",134,58
402,transit,By request,By request,134,58
403,arrival,"360.00","190.00",135,55
404,departure,"360.00","190.00",135,55
405,transit,By request,By request,135,55
406,arrival,"275.00","120.00",136,18
407,departure,"275.00","120.00",136,18
408,transit,"325.00","170.00",136,18
409,arrival,"275.00","120.00",137,18
410,departure,"275.00","120.00",137,18
411,transit,"325.00","170.00",137,18
412,arrival,"275.00","120.00",138,18
413,departure,"275.00","120.00",138,18
414,transit,"325.00","170.00",138,18
415,arrival,"235.00","195.00",139,55
416,departure,"235.00","195.00",139,55
417,transit,By request,By request,139,55
418,arrival,"235.00","195.00",140,55
419,departure,"235.00","195.00",140,55
420,transit,By request,By request,140,55
421,arrival,"320.00","290.00",141,55
422,departure,"320.00","290.00",141,55
423,transit,"550.00","490.00",141,55
424,arrival,"420.00","420.00",142,55
425,departure,"420.00","420.00",142,55
426,transit,"790.00","790.00",142,55
427,arrival,"420.00","420.00",143,55
428,departure,"420.00","420.00",143,55
429,transit,"790.00","790.00",143,55
430,arrival,"790.00","790.00",144,22
431,departure,"790.00","790.00",144,22
432,transit,"1400.00","1400.00",144,22
433,arrival,"420.00","420.00",145,71
434,departure,"420.00","420.00",145,71
435,transit,"790.00","790.00",145,71
436,arrival,"495.00","260.00",146,101
437,departure,"495.00","260.00",146,101
438,transit,By request,By request,146,101
439,arrival,"345.00","265.00",147,55
440,departure,"345.00","265.00",147,55
441,transit,By request,By request,147,55
442,arrival,"365.00","285.00",148,57
443,departure,"365.00","285.00",148,57
444,transit,By request,By request,148,57
445,arrival,"255.00","225.00",149,41
446,departure,"255.00","225.00",149,41
447,transit,By request,By request,149,41
448,arrival,"275.00","215.00",150,75
449,departure,"275.00","215.00",150,75
450,transit,ARR + DEP,ARR + DEP,150,75
451,arrival,"385.00","355.00",151,76
452,departure,"385.00","355.00",151,76
453,transit,ARR + DEP,ARR + DEP,151,76
454,arrival,"345.00","265.00",152,69
455,departure,"345.00","265.00",152,69
456,transit,By request,By request,152,69
457,arrival,"345.00","265.00",153,55
458,departure,"345.00","265.00",153,55
459,transit,By request,By request,153,55
460,arrival,"290.00","265.00",154,55
461,departure,"290.00","265.00",154,55
462,transit,By request,By request,154,55
463,arrival,"390.00","320.00",155,105
464,departure,"390.00","320.00",155,105
465,transit,By request,By request,155,105
466,arrival,"295.00","265.00",156,55
467,departure,"295.00","265.00",156,55
468,transit,ARR + DEP,ARR + DEP,156,55
469,arrival,"750.00","670.00",157,104
470,departure,"750.00","670.00",157,104
471,transit,By request,By request,157,104
472,arrival,"270.00","250.00",158,103
473,departure,"270.00","250.00",158,103
474,transit,By request,By request,158,103
475,arrival,"345.00","265.00",159,55
476,departure,"345.00","265.00",159,55
477,transit,By request,By request,159,55
478,arrival,"365.00","295.00",160,55
479,departure,"365.00","295.00",160,55
480,transit,By request,By request,160,55
481,arrival,"480.00","240.00",161,55
482,departure,"480.00","240.00",161,55
483,transit,"710.00","320.00",161,55
484,arrival,"345.00","265.00",162,55
485,departure,"345.00","265.00",162,55
486,transit,By request,By request,162,55
487,arrival,"345.00","265.00",163,72
488,departure,"345.00","265.00",163,72
489,transit,By request,By request,163,72
490,arrival,"345.00","265.00",164,55
491,departure,"345.00","265.00",164,55
492,transit,By request,By request,164,55
493,arrival,"345.00","265.00",165,55
494,departure,"345.00","265.00",165,55
495,transit,By request,By request,165,55
496,arrival,"290.00","260.00",166,55
497,departure,"355.00","330.00",166,55
498,transit,By request,By request,166,55
499,arrival,"345.00","265.00",167,55
500,departure,"345.00","265.00",167,55
501,transit,By request,By request,167,55
502,arrival,"345.00","275.00",168,55
503,departure,"345.00","275.00",168,55
504,transit,By request,By request,168,55
505,arrival,"390.00","320.00",169,105
506,departure,"390.00","320.00",169,105
507,transit,By request,By request,169,105
508,arrival,"345.00","265.00",170,55
509,departure,"345.00","265.00",170,55
510,transit,By request,By request,170,55
511,arrival,"650.00","650.00",171,55
512,departure,"650.00","650.00",171,55
513,transit,"790.00","790.00",171,55
514,arrival,"345.00","265.00",172,55
515,departure,"345.00","265.00",172,55
516,transit,By request,By request,172,55
517,arrival,"345.00","265.00",173,55
518,departure,"345.00","265.00",173,55
519,transit,By request,By request,173,55
520,arrival,"285.00","265.00",174,55
521,departure,"285.00","265.00",174,55
522,transit,ARR + DEP,ARR + DEP,174,55
523,arrival,"2750.00","800.00",175,100
524,departure,"2750.00","800.00",175,100
525,transit,By request,By request,175,100
526,arrival,"495.00","260.00",176,101
527,departure,"495.00","260.00",176,101
528,transit,By request,By request,176,101
529,arrival,"285.00","265.00",177,55
530,departure,"285.00","265.00",177,55
531,transit,ARR + DEP,ARR + DEP,177,55
532,arrival,"2750.00","900.00",178,100
533,departure,"2750.00","900.00",178,100
534,transit,By request,By request,178,100
535,arrival,"495.00","260.00",179,101
536,departure,"495.00","260.00",179,101
537,transit,By request,By request,179,101
538,arrival,-,-,180,102
539,departure,"1250.00","600.00",180,102
540,transit,-,-,180,102
541,arrival,"1550.00","850.00",181,71
542,departure,"1650.00","950.00",181,71
543,transit,By request,By request,181,71
544,arrival,"245.00","195.00",182,48
545,departure,"245.00","195.00",182,48
546,transit,By request,By request,182,48
547,arrival,"320.00","270.00",183,105
548,departure,"320.00","270.00",183,105
549,transit,By request,By request,183,105
550,arrival,"420.00","420.00",184,55
551,departure,"420.00","420.00",184,55
552,transit,By request,By request,184,55
553,arrival,"520.00","520.00",185,105
554,departure,"520.00","520.00",185,105
555,transit,By request,By request,185,105
556,arrival,"575.00","575.00",186,41
557,departure,"575.00","575.00",186,41
558,transit,By request,By request,186,41
559,arrival,"365.00","285.00",187,57
560,departure,"365.00","285.00",187,57
561,transit,By request,By request,187,57
562,arrival,"290.00","220.00",188,55
563,departure,"290.00","220.00",188,55
564,transit,By request,By request,188,55
565,arrival,"360.00","320.00",189,20
566,departure,"360.00","320.00",189,20
567,transit,By request,By request,189,20
568,arrival,"295.00","225.00",190,55
569,departure,"295.00","225.00",190,55
570,transit,By request,By request,190,55
571,arrival,"295.00","225.00",191,55
572,departure,"295.00","225.00",191,55
573,transit,By request,By request,191,55
574,arrival,"345.00","265.00",192,55
575,departure,"345.00","265.00",192,55
576,transit,By request,By request,192,55
577,arrival,"295.00","225.00",193,55
578,departure,"295.00","225.00",193,55
579,transit,By request,By request,193,55
580,arrival,"295.00","225.00",194,55
581,departure,"295.00","225.00",194,55
582,transit,By request,By request,194,55
583,arrival,"350.00","350.00",195,55
584,departure,"350.00","350.00",195,55
585,transit,N/A,N/A,195,55
586,arrival,"400.00","375.00",196,55
587,departure,"400.00","375.00",196,55
588,transit,By request,By request,196,55
589,arrival,"400.00","375.00",197,55
590,departure,"400.00","375.00",197,55
591,transit,By request,By request,197,55
592,arrival,"395.00","365.00",198,55
593,departure,"395.00","365.00",198,55
594,transit,By request,By request,198,55
595,arrival,"395.00","365.00",199,55
596,departure,"395.00","365.00",199,55
597,transit,By request,By request,199,55
598,arrival,"350.00","175.00",200,55
599,departure,"350.00","175.00",200,55
600,transit,By request,By request,200,55
601,arrival,"370.00","195.00",201,55
602,departure,"370.00","195.00",201,55
603,transit,By request,By request,201,55
604,arrival,"370.00","195.00",202,55
605,departure,"370.00","195.00",202,55
606,transit,By request,By request,202,55
607,arrival,"370.00","195.00",203,55
608,departure,"370.00","195.00",203,55
609,transit,By request,By request,203,55
610,arrival,"370.00","195.00",204,55
611,departure,"370.00","195.00",204,55
612,transit,By request,By request,204,55
613,arrival,"280.00","215.00",205,55
614,departure,"280.00","215.00",205,55
615,transit,By request,By request,205,55
616,arrival,"480.00","270.00",206,55
617,departure,"480.00","270.00",206,55
618,transit,"780.00","425.00",206,55
619,arrival,"280.00","110.00",207,48
620,departure,"280.00","110.00",207,48
621,transit,By request,By request,207,48
622,arrival,"290.00","290.00",208,55
623,departure,"290.00","290.00",208,55
624,transit,-,-,208,55
625,arrival,"390.00","390.00",209,71
626,departure,"390.00","390.00",209,71
627,transit,-,-,209,71
628,arrival,"290.00","290.00",210,55
629,departure,"290.00","290.00",210,55
630,transit,-,-,210,55
631,arrival,"290.00","290.00",211,55
632,departure,"290.00","290.00",211,55
633,transit,-,-,211,55
634,arrival,"290.00","290.00",212,55
635,departure,"290.00","290.00",212,55
636,transit,-,-,212,55
637,arrival,N/A,N/A,213,55
638,departure,N/A,N/A,213,55
639,transit,-,-,213,55
640,arrival,"290.00","290.00",214,55
641,departure,"290.00","290.00",214,55
642,transit,-,-,214,55
643,arrival,"480.00","400.00",215,97
644,departure,"480.00","400.00",215,97
645,transit,-,-,215,97
646,arrival,"290.00","290.00",216,55
647,departure,"290.00","290.00",216,55
648,transit,-,-,216,55
649,arrival,N/A,N/A,217,78
650,departure,N/A,N/A,217,78
651,transit,N/A,N/A,217,78
652,arrival,N/A,N/A,218,78
653,departure,N/A,N/A,218,78
654,transit,N/A,N/A,218,78
655,arrival,N/A,N/A,219,55
656,departure,N/A,N/A,219,55
657,transit,N/A,N/A,219,55
658,arrival,"280.00","160.00",220,55
659,departure,"280.00","160.00",220,55
660,transit,By request,By request,220,55
661,arrival,"250.00","150.00",221,55
662,departure,"250.00","150.00",221,55
663,transit,By request,By request,221,55
664,arrival,"290.00","180.00",222,55
665,departure,"290.00","180.00",222,55
666,transit,By request,By request,222,55
667,arrival,"350.00","350.00",223,39
668,departure,"350.00","350.00",223,39
669,transit,-,-,223,39
670,arrival,"380.00","245.00",224,18
671,departure,"380.00","245.00",224,18
672,transit,"560.00","300.00",224,18
673,arrival,"195.00","165.00",225,17
674,departure,"195.00","165.00",225,17
675,transit,By request,By request,225,17
676,arrival,"540.00","170.00",226,48
677,departure,"540.00","170.00",226,48
678,transit,-,-,226,48
679,arrival,-,-,227,23
680,departure,"950.00","440.00",227,23
681,transit,-,-,227,23
682,arrival,"510.00","220.00",228,55
683,departure,"510.00","220.00",228,55
684,transit,"680.00","320.00",228,55
685,arrival,"510.00","220.00",229,55
686,departure,"510.00","220.00",229,55
687,transit,-,-,229,55
688,arrival,"460.00","440.00",230,46
689,departure,"460.00","440.00",230,46
690,transit,By request,By request,230,46
691,arrival,"265.00","150.00",231,55
692,departure,"265.00","150.00",231,55
693,transit,By request,By request,231,55
694,arrival,"265.00","150.00",232,55
695,departure,"265.00","150.00",232,55
696,transit,By request,By request,232,55
697,arrival,"325.00","300.00",233,87
698,departure,"385.00","360.00",233,87
699,transit,By request,By request,233,87
700,arrival,"265.00","210.00",234,55
701,departure,"265.00","210.00",234,55
702,transit,By request,By request,234,55
703,arrival,"265.00","150.00",235,55
704,departure,"265.00","150.00",235,55
705,transit,By request,By request,235,55
706,arrival,"265.00","150.00",236,55
707,departure,"265.00","150.00",236,55
708,transit,By request,By request,236,55
709,arrival,"275.00","190.00",237,55
710,departure,"275.00","190.00",237,55
711,transit,By request,By request,237,55
712,arrival,"270.00","195.00",238,55
713,departure,"270.00","195.00",238,55
714,transit,By request,By request,238,55
715,arrival,"650.00","240.00",239,55
716,departure,"650.00","240.00",239,55
717,transit,By request,By request,239,55
718,arrival,"270.00","195.00",240,55
719,departure,"270.00","195.00",240,55
720,transit,By request,By request,240,55
721,arrival,"270.00","195.00",241,55
722,departure,"270.00","195.00",241,55
723,transit,By request,By request,241,55
724,arrival,"195.00","155.00",242,55
725,departure,"225.00","205.00",242,55
726,transit,"280.00","240.00",242,55
727,arrival,"315.00","275.00",243,29
728,departure,"315.00","275.00",243,29
729,transit,"410.00","370.00",243,29
730,arrival,"670.00","670.00",244,48
731,departure,"710.00","710.00",244,48
732,transit,N/A,N/A,244,48
733,arrival,"185.00","125.00",245,39
734,departure,"185.00","125.00",245,39
735,transit,N/A,N/A,245,39
736,arrival,"255.00","235.00",246,27
737,departure,"275.00","255.00",246,27
738,transit,N/A,N/A,246,27
739,arrival,"620.00","620.00",247,28
740,departure,"650.00","650.00",247,28
741,transit,N/A,N/A,247,28
742,arrival,"185.00","125.00",248,55
743,departure,"185.00","125.00",248,55
744,transit,N/A,N/A,248,55
745,arrival,"185.00","125.00",249,55
746,departure,"185.00","125.00",249,55
747,transit,N/A,N/A,249,55
748,arrival,"185.00","125.00",250,55
749,departure,"185.00","125.00",250,55
750,transit,N/A,N/A,250,55
751,arrival,"225.00","175.00",251,55
752,departure,"225.00","175.00",251,55
753,transit,N/A,N/A,251,55
754,arrival,"620.00","285.00",252,18
755,departure,"620.00","285.00",252,18
756,transit,N/A,N/A,252,18
757,arrival,"390.00","195.00",253,48
758,departure,"390.00","195.00",253,48
759,transit,"470.00","255.00",253,48
760,arrival,"290.00","260.00",254,55
761,departure,"290.00","260.00",254,55
762,transit,"405.00","375.00",254,55
763,arrival,"400.00","190.00",255,55
764,departure,"400.00","190.00",255,55
765,transit,"620.00","270.00",255,55
766,arrival,"400.00","380.00",256,18
767,departure,"400.00","380.00",256,18
768,transit,"680.00","650.00",256,18
769,arrival,"290.00","260.00",257,55
770,departure,"290.00","260.00",257,55
771,transit,"405.00","375.00",257,55
772,arrival,"310.00","250.00",258,55
773,departure,"310.00","250.00",258,55
774,transit,-,-,258,55
775,arrival,"290.00","210.00",259,48
776,departure,"290.00","210.00",259,48
777,transit,"390.00","270.00",259,48
778,arrival,"420.00","250.00",260,55
779,departure,"420.00","250.00",260,55
780,transit,"690.00","390.00",260,55
